timestamp,temperature,humidity,wind_speed,rainfall,heatwave,condition,load_national,load_sldc_delhi,load_sldc_chennai,load_northern,load_southern,load_western,load_eastern
2023-01-01T00:00:00Z,15.9,63.9,4.3,0.0,0,Partly Cloudy,57680,2423,1846,15574,11536,14420,6922
2023-01-01T01:00:00Z,13.3,64.7,5.4,0.0,0,Partly Cloudy,53223,2235,1703,14370,10645,13306,6387
2023-01-01T02:00:00Z,11.4,69.5,2.9,0.0,0,Partly Cloudy,50532,2122,1617,13644,10106,12633,6064
2023-01-01T03:00:00Z,10.9,57.5,1.4,0.0,0,Partly Cloudy,51627,2168,1652,13939,10325,12907,6195
2023-01-01T04:00:00Z,7.6,70.3,2.4,0.0,0,Partly Cloudy,54158,2275,1733,14623,10832,13540,6499
2023-01-01T05:00:00Z,10.1,66.3,3.6,0.0,0,Partly Cloudy,59791,2511,1913,16144,11958,14948,7175
2023-01-01T06:00:00Z,6.1,70.0,2.1,0.0,0,Partly Cloudy,69313,2911,2218,18715,13863,17328,8318
2023-01-01T07:00:00Z,5.4,68.3,2.8,0.0,0,Partly Cloudy,79657,3346,2549,21507,15931,19914,9559
2023-01-01T08:00:00Z,6.1,64.2,4.5,0.0,0,Partly Cloudy,85168,3577,2725,22995,17034,21292,10220
2023-01-01T09:00:00Z,6.6,59.4,1.9,0.0,0,Partly Cloudy,96068,4035,3074,25938,19214,24017,11528
2023-01-01T10:00:00Z,8.0,69.4,3.4,0.0,0,Partly Cloudy,104042,4370,3329,28091,20808,26010,12485
2023-01-01T11:00:00Z,5.7,66.1,2.9,0.0,0,Partly Cloudy,113033,4747,3617,30519,22607,28258,13564
2023-01-01T12:00:00Z,9.6,58.9,3.9,0.0,0,Partly Cloudy,116951,4912,3742,31577,23390,29238,14034
2023-01-01T13:00:00Z,9.5,70.8,4.7,0.0,0,Partly Cloudy,122081,5127,3907,32962,24416,30520,14650
2023-01-01T14:00:00Z,10.9,65.5,3.9,0.0,0,Partly Cloudy,123345,5180,3947,33303,24669,30836,14801
2023-01-01T15:00:00Z,12.9,65.1,2.2,0.0,0,Partly Cloudy,119528,5020,3825,32273,23906,29882,14343
2023-01-01T16:00:00Z,16.3,71.1,3.4,0.0,0,Partly Cloudy,118617,4982,3796,32027,23723,29654,14234
2023-01-01T17:00:00Z,16.9,60.8,3.9,0.0,0,Partly Cloudy,113610,4772,3636,30675,22722,28402,13633
2023-01-01T18:00:00Z,17.3,71.7,1.0,0.0,0,Partly Cloudy,105390,4426,3372,28455,21078,26348,12647
2023-01-01T19:00:00Z,18.0,62.0,3.6,0.0,0,Partly Cloudy,93447,3925,2990,25231,18689,23362,11214
2023-01-01T20:00:00Z,17.8,65.4,5.3,0.0,0,Partly Cloudy,86011,3612,2752,23223,17202,21503,10321
2023-01-01T21:00:00Z,16.7,61.6,4.6,0.0,0,Partly Cloudy,77828,3269,2490,21014,15566,19457,9339
2023-01-01T22:00:00Z,16.5,66.8,3.6,0.0,0,Partly Cloudy,70024,2941,2241,18906,14005,17506,8403
2023-01-01T23:00:00Z,15.3,63.2,3.0,0.0,0,Partly Cloudy,59745,2509,1912,16131,11949,14936,7169
2023-01-02T00:00:00Z,15.5,66.1,3.5,0.0,0,Partly Cloudy,63162,2653,2021,17054,12632,15790,7579
2023-01-02T01:00:00Z,11.5,64.6,3.1,0.0,0,Partly Cloudy,58447,2455,1870,15781,11689,14612,7014
2023-01-02T02:00:00Z,11.8,68.6,5.8,0.0,0,Partly Cloudy,58244,2446,1864,15726,11649,14561,6989
